"TIME","GEO","SEX","AGE","CITIZEN","UNIT","Value"
"1995","BE","T","Y15-74","TOTAL","PC","9.3"
"1995","BG","T","Y15-74","TOTAL","PC",":"
"1995","CZ","T","Y15-74","TOTAL","PC",":"
"1995","DK","T","Y15-74","TOTAL","PC","7.0"
"1995","DE","T","Y15-74","TOTAL","PC","8.2"
"1995","EE","T","Y15-74","TOTAL","PC",":"
"1995","IE","T","Y15-74","TOTAL","PC","12.0"
"1995","EL","T","Y15-74","TOTAL","PC","9.1"
"1995","ES","T","Y15-74","TOTAL","PC","22.7"
"1995","FR","T","Y15-74","TOTAL","PC","11.8"
"1995","HR","T","Y15-74","TOTAL","PC",":"
"1995","IT","T","Y15-74","TOTAL","PC","11.7"
"1995","CY","T","Y15-74","TOTAL","PC",":"
"1995","LV","T","Y15-74","TOTAL","PC",":"
"1995","LT","T","Y15-74","TOTAL","PC",":"
"1995","LU","T","Y15-74","TOTAL","PC","2.9"
"1995","HU","T","Y15-74","TOTAL","PC",":"
"1995","MT","T","Y15-74","TOTAL","PC",":"
"1995","NL","T","Y15-74","TOTAL","PC","7.2"
"1995","AT","T","Y15-74","TOTAL","PC","4.4"
"1995","PL","T","Y15-74","TOTAL","PC",":"
"1995","PT","T","Y15-74","TOTAL","PC","7.1"
"1995","RO","T","Y15-74","TOTAL","PC",":"
"1995","SI","T","Y15-74","TOTAL","PC",":"
"1995","SK","T","Y15-74","TOTAL","PC",":"
"1995","FI","T","Y15-74","TOTAL","PC","17.0"
"1995","SE","T","Y15-74","TOTAL","PC","8.9"
"1995","UK","T","Y15-74","TOTAL","PC","8.7"
"1995","IS","T","Y15-74","TOTAL","PC","5.2"
"1995","NO","T","Y15-74","TOTAL","PC","6.3"
"1995","CH","T","Y15-74","TOTAL","PC",":"
"1995","MK","T","Y15-74","TOTAL","PC",":"
"1995","TR","T","Y15-74","TOTAL","PC",":"
"1996","BE","T","Y15-74","TOTAL","PC","9.5"
"1996","BG","T","Y15-74","TOTAL","PC",":"
"1996","CZ","T","Y15-74","TOTAL","PC",":"
"1996","DK","T","Y15-74","TOTAL","PC","6.8"
"1996","DE","T","Y15-74","TOTAL","PC","8.8"
"1996","EE","T","Y15-74","TOTAL","PC",":"
"1996","IE","T","Y15-74","TOTAL","PC","11.7"
"1996","EL","T","Y15-74","TOTAL","PC","9.7"
"1996","ES","T","Y15-74","TOTAL","PC","22.2"
