"TIME","GEO","GEO_LABEL","AGE","UNIT","SEX","Value"
"2000","BE","Belgium","Total","Percentage of active population","Total","6.9"
"2000","BG","Bulgaria","Total","Percentage of active population","Total","16.4"
"2000","CZ","Czech Republic","Total","Percentage of active population","Total","8.8"
"2000","DK","Denmark","Total","Percentage of active population","Total","4.3"
"2000","DE","Germany (until 1990 former territory of the FRG)","Total","Percentage of active population","Total","7.9"
"2000","EE","Estonia","Total","Percentage of active population","Total","14.6"
"2000","IE","Ireland","Total","Percentage of active population","Total","4.3"
"2000","EL","Greece","Total","Percentage of active population","Total","11.2"
"2000","ES","Spain","Total","Percentage of active population","Total","11.9"
"2000","FR","France","Total","Percentage of active population","Total","8.6"
"2000","HR","Croatia","Total","Percentage of active population","Total","15.6"
"2000","IT","Italy","Total","Percentage of active population","Total","10.0"
"2000","CY","Cyprus","Total","Percentage of active population","Total","4.8"
"2000","LV","Latvia","Total","Percentage of active population","Total","14.3"
"2000","LT","Lithuania","Total","Percentage of active population","Total","16.4"
"2000","LU","Luxembourg","Total","Percentage of active population","Total","2.2"
"2000","HU","Hungary","Total","Percentage of active population","Total","6.3"
"2000","MT","Malta","Total","Percentage of active population","Total","6.7"
"2000","NL","Netherlands","Total","Percentage of active population","Total","3.7"
"2000","AT","Austria","Total","Percentage of active population","Total","3.9"
"2000","PL","Poland","Total","Percentage of active population","Total","16.1"
"2000","PT","Portugal","Total","Percentage of active population","Total","5.1"
"2000","RO","Romania","Total","Percentage of active population","Total","7.6"
"2000","SI","Slovenia","Total","Percentage of active population","Total","6.7"
"2000","SK","Slovakia","Total","Percentage of active population","Total","18.9"
"2000","FI","Finland","Total","Percentage of active population","Total","9.8"
"2000","SE","Sweden","Total","Percentage of active population","Total","5.6"
"2000","UK","United Kingdom","Total","Percentage of active population","Total","5.4"
"2000","IS","Iceland","Total","Percentage of active population","Total",":"
"2000","NO","Norway","Total","Percentage of active population","Total","3.2"
"2000","TR","Turkey","Total","Percentage of active population","Total",":"
"2001","BE","Belgium","Total","Percentage of active population","Total","6.6"
"2001","BG","Bulgaria","Total","Percentage of active population","Total","19.6"
"2001","CZ","Czech Republic","Total","Percentage of active population","Total","8.1"
